No.,Time,Src Port,Dst Port,Source,Destination,Protocol,Length
1,2017-01-19 18:09:44,49286,80,10.1.19.102,192.185.225.245,TCP,66
2,2017-01-19 18:09:44,80,49286,192.185.225.245,10.1.19.102,TCP,60
3,2017-01-19 18:09:44,49286,80,10.1.19.102,192.185.225.245,TCP,60
4,2017-01-19 18:09:44,49286,80,10.1.19.102,192.185.225.245,HTTP,540
5,2017-01-19 18:09:44,80,49286,192.185.225.245,10.1.19.102,TCP,60
6,2017-01-19 18:09:46,80,49286,192.185.225.245,10.1.19.102,TCP,589
7,2017-01-19 18:09:46,80,49286,192.185.225.245,10.1.19.102,TCP,306
8,2017-01-19 18:09:46,49286,80,10.1.19.102,192.185.225.245,TCP,60
9,2017-01-19 18:09:46,49287,80,10.1.19.102,92.53.119.137,TCP,66
10,2017-01-19 18:09:46,80,49287,92.53.119.137,10.1.19.102,TCP,60
11,2017-01-19 18:09:46,49287,80,10.1.19.102,92.53.119.137,TCP,60
12,2017-01-19 18:09:46,49287,80,10.1.19.102,92.53.119.137,HTTP,801
13,2017-01-19 18:09:46,80,49287,92.53.119.137,10.1.19.102,TCP,60
14,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1514
15,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,HTTP,629
16,2017-01-19 18:09:47,49287,80,10.1.19.102,92.53.119.137,TCP,60
17,2017-01-19 18:09:47,49287,80,10.1.19.102,92.53.119.137,HTTP,854
18,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,60
19,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1514
20,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1514
21,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1157
22,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1395
23,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1395
24,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1395
25,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1514
26,2017-01-19 18:09:47,49287,80,10.1.19.102,92.53.119.137,TCP,60
27,2017-01-19 18:09:48,80,49287,92.53.119.137,10.1.19.102,TCP,1395
